url	status	title	iw	host	note
https://www.nytimes.com	PASS	ChatGPT	1440	chatgpt.com	
https://www.amazon.com	PASS	Amazon.com. Spend less. Smile more.	1440	www.amazon.com	
https://www.bloomberg.com	PASS	Bloomberg Asia	1440	www.bloomberg.com	
https://news.ycombinator.com	PASS	Hacker News	1440	news.ycombinator.com	
https://www.airbnb.com	PASS	Airbnb | Vacation rentals, cabins, beach houses, & more	1440	www.airbnb.com	
https://www.notion.so	PASS	The AI workspace that works for you. | Notion	1440	www.notion.com	
https://www.linear.app	PASS	Linear – The system for product development	1440	linear.app	
https://en.wikipedia.org/wiki/HTTP	PASS	HTTP - Wikipedia	1440	en.wikipedia.org	
https://www.djangoproject.com	PASS	The web framework for perfectionists with deadlines | Django	1440	www.djangoproject.com	
https://www.google.com	PASS	Google	1440	www.google.com	
https://accounts.google.com	PASS	Google 계정	1440	myaccount.google.com	
https://chatgpt.com	PASS	ChatGPT	1440	chatgpt.com	
